last_name,first_name,ssn,title,gusto_employee_id,regular_hours,overtime_hours,double_overtime_hours,bonus,commission,paycheck_tips,cash_tips,correction_payment,reimbursement,personal_note
Arendt,Hannah,*5712,Account Manager (Primary),cp5ado,80.0,,,,,,,,,
Berlin,Isaiah,*2395,Client Support Manager (Primary),aayuq7,40.0,,,,,,,,,
Churchland,Patricia,*2536,Account Director (Primary),ptatlr,80.0,,,,,,,,,
Hamilton,Alexander,*0677,Marketing Director (Primary),ibxp8a,80.0,,,,,,,,,
Kant,Immanuel,*4911,Client Support Manager (Primary),omzukz,40.0,,,,,,,,,
Kierkegaard,Soren,*3666,Client Support Director (Primary),ltlkrh,80.0,,,,,,,,,
Nietzsche,Friedrich,*0319,Engineer (Primary),teqkli,80.0,,,,,,,,,
Schopenhauer,Arthur,*0159,Engineer (Primary),gupodq,40.0,,,,,,,,,
Spektor,Regina,*6413,CEO (Primary),iqowzf,80.0,,,,,,,,,
White,Theron,*8870,Office Administrator (Primary),exujgk,40.0,,,,,,,,,
Wittgenstein,Ludwig,*5507,CTO (Primary),gklj2m,80.0,,,,,,,,,
